,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
0,519,40.751873,-73.97770600000001,150246,149925,300171,4
1,497,40.73704984,-73.99009296,108865,113323,222188,26
2,435,40.74173969,-73.99415556,107154,108634,215788,29
3,402,40.740343200000005,-73.98955109,105592,109143,214735,26
4,426,40.71754834,-74.01322069,94453,99422,193875,28
5,285,40.73454567,-73.99074142,93353,93579,186932,2
6,477,40.75640548,-73.9900262,87941,88136,176077,11
7,490,40.751551,-73.993934,85287,85276,170563,11
8,499,40.76915505,-73.98191841,84950,83358,168308,16
9,514,40.76087502,-74.00277668,82316,85136,167452,11
10,293,40.73020660529954,-73.99102628231049,83020,84115,167135,2
11,368,40.73038599,-74.00214988,80543,82259,162802,2
12,3255,40.7505853470215,-73.9946848154068,80091,81651,161742,11
13,2006,40.76590936,-73.97634151,79026,78837,157863,4
14,358,40.73291553,-74.00711384,77881,78748,156629,2
15,492,40.75019995,-73.99093085,75933,78743,154676,26
16,459,40.746745,-74.007756,75519,79000,154519,29
17,229,40.72743423,-73.99379025,75723,78350,154073,2
18,3002,40.711512,-74.01575600000001,76852,77194,154046,12
19,382,40.73492695,-73.99200509,75682,77598,153280,2
20,505,40.74901271,-73.98848395,75280,75910,151190,26
21,379,40.749156,-73.9916,74965,75535,150500,26
22,3641,40.74286877312112,-73.98918628692627,74577,75215,149792,26
23,359,40.75510267,-73.97498696,74467,74712,149179,4
24,281,40.7643971,-73.97371465,78530,68449,146979,4
25,3263,40.729514962249496,-73.99075269699097,72866,73712,146578,2
26,151,40.72210378668603,-73.99724900722505,72603,72926,145529,2
27,168,40.73971301,-73.99456405,71257,73550,144807,29
28,387,40.71273266,-74.0046073,70755,70322,141077,28
29,523,40.75466591,-73.99138152,68609,68911,137520,11
30,445,40.72740794,-73.98142006,65018,72318,137336,9
31,504,40.73221853,-73.98165557,67490,68667,136157,9
32,3435,40.718822,-73.99596,67563,67479,135042,17
33,465,40.75513557,-73.98658032,67221,67275,134496,11
34,491,40.74096374,-73.98602213,65722,65711,131433,26
35,327,40.715337899999994,-74.01658354,64806,65211,130017,28
36,446,40.74487634,-73.99529885,64050,64276,128326,29
37,3660,40.74102150900266,-74.001384973526,63109,63496,126605,29
38,462,40.74691959,-74.00451887,62100,62715,124815,29
39,173,40.76068327096592,-73.98452728986742,62198,62283,124481,11
