name,date,region,category,notes
New Year's Day,2018-01-01,New York,Federal Holiday,Closure of government offices and banks
Martin Luther King Jr. Day,2018-01-15,New York,Federal Holiday,Third Monday in January
Presidents' Day,2018-02-19,New York,Federal Holiday,Washington's Birthday observed
Memorial Day,2018-05-28,New York,Federal Holiday,Last Monday in May
Independence Day,2018-07-04,New York,Federal Holiday,Fourth of July
Labor Day,2018-09-03,New York,Federal Holiday,First Monday in September
Columbus Day,2018-10-08,New York,Federal Holiday,Second Monday in October
Election Day,2018-11-06,New York,State Holiday,General Election Day
Veterans Day,2018-11-12,New York,Federal Holiday,Observed on Monday (actual date Nov 11)
Thanksgiving Day,2018-11-22,New York,Federal Holiday,Fourth Thursday in November
Christmas Day,2018-12-25,New York,Federal Holiday,Christian holiday
New Year's Day,2019-01-01,New York,Federal Holiday,Closure of government offices and banks
Martin Luther King Jr. Day,2019-01-21,New York,Federal Holiday,Third Monday in January
Lincoln's Birthday,2019-02-12,New York,State Holiday,Floating holiday for state employees
Presidents' Day,2019-02-18,New York,Federal Holiday,Washington's Birthday observed
Memorial Day,2019-05-27,New York,Federal Holiday,Last Monday in May
Independence Day,2019-07-04,New York,Federal Holiday,Fourth of July
Labor Day,2019-09-02,New York,Federal Holiday,First Monday in September
Columbus Day,2019-10-14,New York,Federal Holiday,Second Monday in October
Election Day,2019-11-05,New York,State Holiday,General Election Day
Veterans Day,2019-11-11,New York,Federal Holiday,Honoring military veterans
Thanksgiving Day,2019-11-28,New York,Federal Holiday,Fourth Thursday in November
Christmas Day,2019-12-25,New York,Federal Holiday,Christian holiday
